16384 , 45460 , 5995 , 45737
65536 , 172334 , 16593 , 172625
262144 , 695705 , 67686 , 695971
524288 , 1395194 , 137412 , 1395392
1 , 3783 , 2641 , 4023
2 , 3578 , 2461 , 3838
4 , 3589 , 2455 , 3874
16 , 3600 , 2462 , 3870
64 , 3768 , 2469 , 4032
256 , 4209 , 2460 , 4494
1024 , 6122 , 2666 , 6394
4096 , 13713 , 3119 , 13982
16384 , 45269 , 5841 , 45577
65536 , 171855 , 16389 , 172122
262144 , 716079 , 89050 , 716324
524288 , 1433329 , 155646 , 1433531
1 , 3899 , 2669 , 4143
2 , 4115 , 2563 , 4376
4 , 3638 , 2562 , 3916
16 , 3714 , 2524 , 3985
64 , 3736 , 2482 , 4020
256 , 4252 , 2502 , 4549
1024 , 6177 , 2646 , 6449
4096 , 13705 , 3111 , 13971
16384 , 45375 , 6077 , 45645
65536 , 172208 , 16927 , 172499
262144 , 697304 , 68068 , 697550
524288 , 1398394 , 137748 , 1398591
1 , 3872 , 2625 , 4110
2 , 3631 , 2421 , 3918
4 , 3616 , 2457 , 3883
16 , 3689 , 2476 , 3957
64 , 3722 , 2475 , 3987
256 , 4230 , 2521 , 4499
1024 , 6100 , 2644 , 6369
4096 , 13691 , 3141 , 13956
16384 , 45364 , 5969 , 45641
65536 , 172045 , 16433 , 172331
262144 , 697141 , 67970 , 697391
524288 , 1395677 , 136668 , 1395873
1 , 3780 , 2615 , 4020
2 , 3601 , 2448 , 3886
4 , 3557 , 2480 , 3821
16 , 3705 , 2521 , 3975
64 , 3733 , 2466 , 4000
256 , 4163 , 2469 , 4437
1024 , 6169 , 2640 , 6439
4096 , 13559 , 3109 , 13825
16384 , 45378 , 5961 , 45668
65536 , 172267 , 16908 , 172554
262144 , 758231 , 64525 , 758459
524288 , 1459431 , 134181 , 1459636
1 , 5687 , 2663 , 5957
2 , 3628 , 2543 , 3914
4 , 3608 , 2427 , 3883
16 , 3571 , 2438 , 3842
64 , 3642 , 2396 , 3909
256 , 4163 , 2481 , 4437
1024 , 6091 , 2591 , 6375
4096 , 13664 , 3110 , 13946
16384 , 45505 , 5769 , 45802
65536 , 174427 , 17407 , 174707
262144 , 732747 , 102967 , 732989
524288 , 1447750 , 169852 , 1447945
1 , 3903 , 2646 , 4158
2 , 3601 , 2437 , 3892
4 , 3570 , 2425 , 3841
16 , 3759 , 2558 , 4033
64 , 3619 , 2485 , 3887
256 , 4637 , 2571 , 4909
1024 , 15185 , 2517 , 15457
4096 , 22217 , 2832 , 22488
16384 , 54381 , 5870 , 54665
65536 , 172173 , 16753 , 172456
262144 , 697501 , 68715 , 697759
524288 , 1396789 , 136464 , 1396974
1 , 3850 , 2621 , 4081
2 , 12577 , 2298 , 12862
4 , 12498 , 2309 , 12783
16 , 12622 , 2293 , 12912
64 , 12963 , 2328 , 13249
256 , 13148 , 2329 , 13431
1024 , 6109 , 2538 , 6390
4096 , 13621 , 3081 , 13909
16384 , 45367 , 5887 , 45643
65536 , 173371 , 16696 , 173679
262144 , 695464 , 67888 , 695723
524288 , 1394037 , 136486 , 1394242
1 , 3816 , 2602 , 4044
2 , 3590 , 2411 , 3872
4 , 3544 , 2431 , 3826
16 , 3684 , 2513 , 3955
64 , 3768 , 2474 , 4035
256 , 4066 , 2491 , 4348
1024 , 6129 , 2658 , 6398
4096 , 13531 , 3111 , 13809
16384 , 45356 , 5971 , 45634
65536 , 171820 , 16424 , 172108
262144 , 696624 , 67922 , 696877
524288 , 1413628 , 136715 , 1413822
1 , 3850 , 2753 , 4096
2 , 3573 , 2412 , 3842
4 , 3598 , 2446 , 3878
16 , 3665 , 2515 , 3929
64 , 3706 , 2443 , 3972
256 , 4726 , 2634 , 4992
1024 , 6132 , 2731 , 6399
4096 , 13634 , 3078 , 13914
16384 , 45428 , 6054 , 45717
65536 , 172376 , 17035 , 172725
262144 , 748936 , 121531 , 749157
524288 , 1456354 , 200167 , 1456523
1 , 3849 , 2664 , 4102
2 , 3525 , 2434 , 3809
4 , 3523 , 2408 , 3789
16 , 3739 , 2559 , 4017
64 , 3657 , 2489 , 3927
256 , 4141 , 2493 , 4414
1024 , 6204 , 2652 , 6473
4096 , 13529 , 3051 , 13801
16384 , 45457 , 6041 , 45727
65536 , 172664 , 16792 , 172956
262144 , 696602 , 68210 , 696850
524288 , 1398171 , 136436 , 1398374
1 , 3730 , 2585 , 3967
2 , 3536 , 2423 , 3821
4 , 3630 , 2500 , 3903
16 , 3685 , 2486 , 3952
64 , 3751 , 2514 , 4022
256 , 4099 , 2477 , 4383
1024 , 6096 , 2616 , 6382
4096 , 13587 , 3113 , 13873
16384 , 45524 , 5998 , 45794
65536 , 171835 , 16502 , 172113
262144 , 695344 , 67734 , 695590
524288 , 1393805 , 136312 , 1394013
1 , 3764 , 2602 , 4002
2 , 3579 , 2453 , 3863
4 , 3555 , 2487 , 3822
16 , 4136 , 2952 , 4409
64 , 3833 , 2630 , 4102
256 , 4161 , 2446 , 4466
1024 , 6128 , 2630 , 6394
4096 , 13660 , 3066 , 13883
16384 , 45394 , 6001 , 45676
65536 , 171585 , 16403 , 171872
262144 , 698619 , 67958 , 698878
524288 , 1394980 , 136258 , 1395154
1 , 3682 , 2548 , 3924
2 , 3539 , 2387 , 3827
4 , 3557 , 2405 , 3842
16 , 3562 , 2430 , 3833
64 , 3633 , 2419 , 3908
256 , 4180 , 2506 , 4458
1024 , 6093 , 2592 , 6375
4096 , 13593 , 3087 , 13866
16384 , 45337 , 5920 , 45622
65536 , 179918 , 23040 , 180230
262144 , 740272 , 115697 , 740481
524288 , 1418451 , 142084 , 1418641
1 , 3826 , 2663 , 4072
2 , 3593 , 2494 , 3889
4 , 3547 , 2430 , 3828
16 , 3646 , 2592 , 3916
64 , 3671 , 2497 , 3944
256 , 4114 , 2470 , 4387
1024 , 6208 , 2671 , 6475
4096 , 13618 , 3066 , 13888
16384 , 45472 , 6129 , 45744
65536 , 171910 , 16708 , 172209
262144 , 696205 , 68278 , 696450
524288 , 1397147 , 136869 , 1397337
1 , 3826 , 2615 , 4059
2 , 3533 , 2456 , 3822
4 , 3620 , 2452 , 3888
16 , 4163 , 2594 , 4431
64 , 3837 , 2640 , 4090
256 , 4111 , 2468 , 4381
1024 , 6143 , 2663 , 6410
4096 , 13654 , 3141 , 13923
16384 , 45352 , 5932 , 45624
65536 , 171695 , 16433 , 171983
262144 , 696523 , 67406 , 696773
524288 , 1415764 , 137259 , 1415933
1 , 3838 , 2690 , 4074
2 , 3603 , 2468 , 3875
4 , 3550 , 2407 , 3820
16 , 3733 , 2524 , 3995
64 , 3667 , 2486 , 3917
256 , 4090 , 2438 , 4363
1024 , 6122 , 2626 , 6369
4096 , 13581 , 3068 , 13840
16384 , 45553 , 6028 , 45811
65536 , 173668 , 16932 , 173948
262144 , 695051 , 67680 , 695299
524288 , 1394060 , 136470 , 1394234
1 , 3755 , 2575 , 3983
2 , 3543 , 2435 , 3817
